Date,Open,High,Low,Close,Adj Close,Volume
2010-07-19,2634.600098,2634.600098,2634.600098,2634.600098,2634.600098,0
2010-07-20,2627.280029,2627.280029,2627.280029,2627.280029,2627.280029,0
2010-07-21,2639.520020,2639.520020,2639.520020,2639.520020,2639.520020,0
2010-07-22,2714.209961,2714.209961,2714.209961,2714.209961,2714.209961,0
2010-07-23,2719.129883,2719.129883,2719.129883,2719.129883,2719.129883,0
2010-07-26,2743.120117,2743.120117,2743.120117,2743.120117,2743.120117,0
2010-07-27,2769.310059,2769.310059,2769.310059,2769.310059,2769.310059,0
2010-07-28,2766.110107,2766.110107,2766.110107,2766.110107,2766.110107,0
2010-07-29,2752.929932,2752.929932,2752.929932,2752.929932,2752.929932,0
2010-07-30,2742.139893,2742.139893,2742.139893,2742.139893,2742.139893,0
2010-08-02,2822.169922,2822.169922,2822.169922,2822.169922,2822.169922,0
2010-08-03,2818.969971,2818.969971,2818.969971,2818.969971,2818.969971,0
2010-08-04,2825.080078,2825.080078,2825.080078,2825.080078,2825.080078,0
2010-08-05,2819.340088,2819.340088,2819.340088,2819.340088,2819.340088,0
2010-08-06,2779.340088,2779.340088,2779.340088,2779.340088,2779.340088,0
2010-08-09,2827.270020,2827.270020,2827.270020,2827.270020,2827.270020,0
2010-08-10,2800.020020,2800.020020,2800.020020,2800.020020,2800.020020,0
2010-08-11,2724.159912,2724.159912,2724.159912,2724.159912,2724.159912,0
2010-08-12,2720.850098,2720.850098,2720.850098,2720.850098,2720.850098,0
2010-08-13,2708.729980,2708.729980,2708.729980,2708.729980,2708.729980,0
2010-08-16,2698.290039,2698.290039,2698.290039,2698.290039,2698.290039,0
2010-08-17,2737.689941,2737.689941,2737.689941,2737.689941,2737.689941,0
2010-08-18,2728.659912,2728.659912,2728.659912,2728.659912,2728.659912,0
2010-08-19,2675.020020,2675.020020,2675.020020,2675.020020,2675.020020,0
2010-08-20,2643.979980,2643.979980,2643.979980,2643.979980,2643.979980,0
2010-08-23,2660.840088,2660.840088,2660.840088,2660.840088,2660.840088,0
2010-08-24,2614.540039,2614.540039,2614.540039,2614.540039,2614.540039,0
2010-08-25,2587.399902,2587.399902,2587.399902,2587.399902,2587.399902,0
2010-08-26,2606.889893,2606.889893,2606.889893,2606.889893,2606.889893,0
2010-08-27,2630.350098,2630.350098,2630.350098,2630.350098,2630.350098,0
2010-08-30,2616.570068,2616.570068,2616.570068,2616.570068,2616.570068,0
2010-08-31,2622.949951,2622.949951,2622.949951,2622.949951,2622.949951,0
2010-09-01,2715.270020,2715.270020,2715.270020,2715.270020,2715.270020,0
2010-09-02,2715.189941,2715.189941,2715.189941,2715.189941,2715.189941,0
2010-09-03,2746.229980,2746.229980,2746.229980,2746.229980,2746.229980,0
2010-09-06,2753.600098,2753.600098,2753.600098,2753.600098,2753.600098,0
2010-09-07,2727.159912,2727.159912,2727.159912,2727.159912,2727.159912,0
2010-09-08,2752.889893,2752.889893,2752.889893,2752.889893,2752.889893,0
2010-09-09,2782.429932,2782.429932,2782.429932,2782.429932,2782.429932,0
2010-09-10,2780.399902,2780.399902,2780.399902,2780.399902,2780.399902,0
2010-09-13,2805.060059,2805.060059,2805.060059,2805.060059,2805.060059,0
2010-09-14,2806.469971,2806.469971,2806.469971,2806.469971,2806.469971,0
2010-09-15,2794.360107,2794.360107,2794.360107,2794.360107,2794.360107,0
2010-09-16,2784.610107,2784.610107,2784.610107,2784.610107,2784.610107,0
2010-09-17,2757.370117,2757.370117,2757.370117,2757.370117,2757.370117,0
2010-09-20,2802.669922,2802.669922,2802.669922,2802.669922,2802.669922,0
2010-09-21,2794.550049,2794.550049,2794.550049,2794.550049,2794.550049,0
2010-09-22,2752.770020,2752.770020,2752.770020,2752.770020,2752.770020,0
2010-09-23,2738.610107,2738.610107,2738.610107,2738.610107,2738.610107,0
2010-09-24,2792.750000,2792.750000,2792.750000,2792.750000,2792.750000,0
2010-09-27,2776.330078,2776.330078,2776.330078,2776.330078,2776.330078,0
2010-09-28,2774.620117,2774.620117,2774.620117,2774.620117,2774.620117,0
2010-09-29,2752.709961,2752.709961,2752.709961,2752.709961,2752.709961,0
2010-09-30,2747.899902,2747.899902,2747.899902,2747.899902,2747.899902,0
2010-10-01,2732.909912,2732.909912,2732.909912,2732.909912,2732.909912,0
2010-10-04,2701.020020,2701.020020,2701.020020,2701.020020,2701.020020,0
2010-10-05,2758.560059,2758.560059,2758.560059,2758.560059,2758.560059,0
2010-10-06,2780.000000,2780.000000,2780.000000,2780.000000,2780.000000,0
2010-10-07,2786.879883,2786.879883,2786.879883,2786.879883,2786.879883,0
2010-10-08,2785.429932,2785.429932,2785.429932,2785.429932,2785.429932,0
2010-10-11,2789.719971,2789.719971,2789.719971,2789.719971,2789.719971,0
2010-10-12,2775.750000,2775.750000,2775.750000,2775.750000,2775.750000,0
2010-10-13,2840.550049,2840.550049,2840.550049,2840.550049,2840.550049,0
2010-10-14,2836.110107,2836.110107,2836.110107,2836.110107,2836.110107,0
2010-10-15,2841.649902,2841.649902,2841.649902,2841.649902,2841.649902,0
2010-10-18,2850.719971,2850.719971,2850.719971,2850.719971,2850.719971,0
2010-10-19,2837.330078,2837.330078,2837.330078,2837.330078,2837.330078,0
2010-10-20,2851.520020,2851.520020,2851.520020,2851.520020,2851.520020,0
2010-10-21,2882.290039,2882.290039,2882.290039,2882.290039,2882.290039,0
2010-10-22,2873.739990,2873.739990,2873.739990,2873.739990,2873.739990,0
2010-10-25,2871.479980,2871.479980,2871.479980,2871.479980,2871.479980,0
2010-10-26,2856.310059,2856.310059,2856.310059,2856.310059,2856.310059,0
2010-10-27,2829.419922,2829.419922,2829.419922,2829.419922,2829.419922,0
2010-10-28,2845.530029,2845.530029,2845.530029,2845.530029,2845.530029,0
